	Prot_ID	dN	dS	pN	pS	MsaLen
80	ENSP00000064778	0	1	6	13	732
81	ENSP00000061240	2	14	62	37	3108
82	ENSP00000064780	2	2	35	33	1290
83	ENSP00000062104	0	0	0	0	243
84	ENSP00000064571	0	1	4	8	603
85	ENSP00000072644	0	1	0	0	1065
86	ENSP00000074304	1	8	0	0	2934
87	ENSP00000078445	4	6	30	25	1383
88	ENSP00000075503	6	8	19	7	1266
89	ENSP00000070846	4	6	0	0	2643
90	ENSP00000075120	0	3	0	0	1488
91	ENSP00000085068	4	3	0	0	663
92	ENSP00000084798	0	2	11	6	984
93	ENSP00000085219	22	11	10	2	2541
94	ENSP00000080059	10	4	32	29	3246
95	ENSP00000083182	0	0	10	12	1794
96	ENSP00000086933	1	1	7	4	615
97	ENSP00000157812	3	5	5	20	1305
98	ENSP00000159060	5	7	59	16	1704
99	ENSP00000157600	1	4	25	9	1095
100	ENSP00000156109	3	2	11	7	1428
101	ENSP00000158762	2	3	27	16	2220
102	ENSP00000155926	1	0	13	16	1029
103	ENSP00000159087	0	7	2	1	4185
104	ENSP00000158009	0	1	24	16	972
105	ENSP00000158166	2	4	0	3	1821
106	ENSP00000158771	0	6	2	0	717
107	ENSP00000159111	6	19	0	0	3390
108	ENSP00000156626	5	7	19	4	1800
109	ENSP00000156084	0	4	0	0	1938
110	ENSP00000155858	13	15	0	1	3582
111	ENSP00000156471	2	14	46	30	4455
112	ENSP00000161006	4	3	15	8	1269
113	ENSP00000161863	3	9	75	34	4290
114	ENSP00000164305	2	3	18	11	1740
115	ENSP00000166244	5	15	87	44	3084
116	ENSP00000164227	1	0	11	18	1533
117	ENSP00000169298	2	4	6	8	1218
118	ENSP00000162391	3	1	0	0	1725
119	ENSP00000164139	1	9	1	2	2547
120	ENSP00000162044	0	1	14	3	1485
121	ENSP00000160373	6	6	98	46	5097
122	ENSP00000169551	1	2	19	9	744
123	ENSP00000162749	3	3	16	8	1365
124	ENSP00000164133	2	2	5	5	1491
125	ENSP00000167586	1	4	51	36	1488
126	ENSP00000167106	3	6	17	20	1095
127	ENSP00000165524	0	0	14	4	261
128	ENSP00000160827	5	7	7	0	2127
129	ENSP00000163416	5	8	44	20	2340
130	ENSP00000175238	11	7	54	22	2331
131	ENSP00000170150	3	4	50	36	1449
132	ENSP00000173229	0	0	7	5	1818
133	ENSP00000175756	8	1	39	19	1404
134	ENSP00000170168	13	14	109	76	3879
135	ENSP00000173527	0	2	0	6	1224
136	ENSP00000176763	6	10	63	50	2904
137	ENSP00000178638	1	5	28	24	1062
138	ENSP00000170447	2	7	15	13	1275
139	ENSP00000170564	8	8	64	39	2820
140	ENSP00000171887	9	25	1	0	5607
141	ENSP00000175091	0	2	11	12	699
142	ENSP00000177694	0	3	23	25	1647
143	ENSP00000172229	0	5	23	27	1281
144	ENSP00000178640	0	1	22	10	1344
145	ENSP00000171111	0	5	21	20	1872
146	ENSP00000177742	0	2	9	6	675
147	ENSP00000179259	3	1	0	0	813
148	ENSP00000180173	2	5	51	37	1980
149	ENSP00000186436	5	8	47	30	5898
150	ENSP00000184266	0	0	6	2	567
151	ENSP00000180166	0	0	15	7	645
152	ENSP00000181839	2	7	62	36	4536
153	ENSP00000188790	0	7	26	29	2280
154	ENSP00000185206	0	3	0	1	1287
155	ENSP00000183605	0	3	2	2	783
156	ENSP00000182290	10	5	15	4	960
157	ENSP00000185150	1	4	1	0	1449
158	ENSP00000182527	1	2	13	6	1155
159	ENSP00000181796	0	1	0	0	978
160	ENSP00000188312	0	3	6	2	1188
161	ENSP00000184183	2	1	8	2	636
162	ENSP00000181383	4	2	0	0	1272
163	ENSP00000192788	7	11	6	0	4320
164	ENSP00000199814	0	5	8	7	1311
165	ENSP00000198801	0	2	17	12	1092
166	ENSP00000199936	3	7	22	17	1161
167	ENSP00000199447	15	5	44	23	1764
168	ENSP00000196371	1	3	14	21	1782
169	ENSP00000196061	7	13	35	30	2391
170	ENSP00000199320	0	3	15	4	939
171	ENSP00000197268	4	6	43	32	2094
172	ENSP00000199764	2	8	25	13	1032
173	ENSP00000196489	1	2	20	11	1782
174	ENSP00000192314	6	3	37	16	1386
175	ENSP00000199280	1	5	1	2	813
176	ENSP00000199708	0	5	10	9	426
177	ENSP00000193391	5	7	65	34	3759
178	ENSP00000194530	1	4	7	7	1281
179	ENSP00000194214	0	0	0	0	870
180	ENSP00000190165	10	6	26	13	1416
181	ENSP00000194130	7	4	23	15	1965
182	ENSP00000193322	1	2	11	8	1098
183	ENSP00000206765	2	6	77	50	2454
184	ENSP00000202677	8	18	6	4	5907
185	ENSP00000200457	4	4	50	25	1428
186	ENSP00000206423	4	8	74	34	2850
187	ENSP00000203630	1	3	3	10	954
188	ENSP00000207457	2	3	46	11	1449
189	ENSP00000209728	2	0	23	15	1680
190	ENSP00000206020	1	3	0	2	681
191	ENSP00000205061	0	10	25	38	3651
192	ENSP00000205636	2	0	12	5	549
193	ENSP00000209929	1	5	46	18	1605
194	ENSP00000200557	4	2	28	19	2472
195	ENSP00000209668	5	3	23	9	1125
196	ENSP00000200652	3	1	29	19	1653
197	ENSP00000207870	5	6	45	19	1920
198	ENSP00000200181	12	28	0	0	5727
199	ENSP00000200691	0	2	0	0	339
200	ENSP00000203001	1	3	20	19	1494
201	ENSP00000205948	0	2	15	8	1035
202	ENSP00000205214	5	3	0	0	3297
203	ENSP00000203664	1	0	16	20	810
204	ENSP00000204566	0	2	12	7	951
205	ENSP00000206513	1	2	26	15	876
206	ENSP00000203629	6	8	25	8	1581
207	ENSP00000201586	5	5	34	16	1113
208	ENSP00000201647	10	12	21	11	2169
209	ENSP00000209875	0	1	1	3	639
210	ENSP00000200676	7	4	42	20	1539
211	ENSP00000202967	1	3	23	14	948
212	ENSP00000207549	6	13	76	36	3282
213	ENSP00000209884	0	3	16	12	1827
214	ENSP00000202625	8	11	113	37	2238
215	ENSP00000209873	2	2	23	16	1638
216	ENSP00000202017	1	1	6	6	399
217	ENSP00000200453	10	4	83	45	2052
218	ENSP00000209718	1	2	31	12	1383
219	ENSP00000203556	4	9	65	41	2910
220	ENSP00000204679	9	7	30	26	924
221	ENSP00000204549	0	3	10	12	1461
222	ENSP00000203407	0	4	29	17	1440
223	ENSP00000205402	0	4	34	16	1614
224	ENSP00000202816	11	4	42	23	2556
225	ENSP00000202556	6	10	0	0	3279
226	ENSP00000204517	1	2	16	14	1023
227	ENSP00000204604	5	7	77	37	3072
228	ENSP00000200135	0	6	52	25	2337
229	ENSP00000204726	22	21	112	82	4584
230	ENSP00000215793	0	3	25	19	2400
231	ENSP00000219789	0	0	7	7	639
232	ENSP00000216223	8	5	46	17	1653
233	ENSP00000216294	3	2	23	12	1104
234	ENSP00000219660	2	3	12	11	783
235	ENSP00000217381	3	1	38	27	1515
236	ENSP00000217159	7	15	68	55	2166
237	ENSP00000217169	4	6	9	2	894
238	ENSP00000217426	0	2	22	20	1467
239	ENSP00000218340	2	2	7	2	1050
240	ENSP00000219334	2	5	29	27	2271
241	ENSP00000216034	0	0	5	12	426
242	ENSP00000215637	12	5	0	0	1374
243	ENSP00000210633	5	7	0	0	2529
244	ENSP00000216117	0	4	17	7	960
245	ENSP00000216442	0	0	0	0	741
246	ENSP00000217456	3	3	1	1	1248
247	ENSP00000210187	0	0	0	0	954
248	ENSP00000216513	1	4	30	8	2406
249	ENSP00000217086	6	5	65	56	3159
250	ENSP00000219454	0	2	30	6	660
251	ENSP00000217289	2	10	45	27	2139
252	ENSP00000218104	2	8	10	17	2235
253	ENSP00000219299	7	2	0	2	1131
254	ENSP00000216129	4	2	68	52	2064
255	ENSP00000218224	0	1	0	0	795
256	ENSP00000216780	3	6	0	0	2010
257	ENSP00000219400	0	0	4	2	363
258	ENSP00000216274	6	7	31	18	1554
259	ENSP00000216410	0	1	6	3	552
260	ENSP00000216471	13	4	43	17	2028
261	ENSP00000218089	0	5	2	7	3804
262	ENSP00000219919	5	5	7	1	885
263	ENSP00000211287	3	3	19	17	1197
264	ENSP00000219746	1	4	0	0	1803
265	ENSP00000216024	0	2	7	14	1020
266	ENSP00000216271	3	5	62	50	2007
267	ENSP00000218348	2	5	2	0	3309
268	ENSP00000216479	1	0	5	8	1014
269	ENSP00000215727	1	5	30	21	1497
270	ENSP00000215912	2	2	12	11	789
271	ENSP00000216756	5	3	0	0	681
272	ENSP00000215631	0	0	9	3	555
273	ENSP00000217270	6	6	32	19	1152
274	ENSP00000216468	6	6	22	6	1014
275	ENSP00000215659	2	2	3	1	1140
276	ENSP00000216044	0	2	1	8	2037
277	ENSP00000216802	1	1	0	1	717
278	ENSP00000219204	0	1	7	3	567
279	ENSP00000215375	0	3	0	0	618
280	ENSP00000215832	0	0	4	6	1185
281	ENSP00000219162	0	1	5	4	186
282	ENSP00000216264	3	5	34	27	1938
283	ENSP00000219689	7	5	47	24	4275
284	ENSP00000216277	0	1	15	12	2235
285	ENSP00000219782	0	0	0	0	1650
286	ENSP00000219097	1	0	11	4	885
287	ENSP00000215743	3	9	25	20	1560
288	ENSP00000215886	1	1	15	9	408
289	ENSP00000216540	3	4	31	9	1212
290	ENSP00000219197	0	2	7	2	579
291	ENSP00000216181	0	35	106	124	6057
292	ENSP00000219252	0	6	3	12	870
293	ENSP00000215829	0	1	0	7	378
294	ENSP00000215574	2	5	15	13	708
295	ENSP00000216211	5	7	35	16	861
296	ENSP00000219548	0	2	2	5	909
297	ENSP00000217407	8	5	71	24	2193
298	ENSP00000216286	5	8	77	35	4260
299	ENSP00000216297	0	8	14	31	3141
300	ENSP00000219022	2	5	44	23	1530
301	ENSP00000216115	2	2	17	4	480
302	ENSP00000211998	0	3	52	38	3402
303	ENSP00000217901	3	5	2	0	1179
304	ENSP00000219611	8	17	44	78	3987
305	ENSP00000219406	6	9	64	42	1575
306	ENSP00000216446	1	4	16	5	1110
307	ENSP00000216121	2	0	3	6	951
308	ENSP00000214869	0	0	12	1	681
309	ENSP00000216190	0	4	5	16	1773
310	ENSP00000219315	1	4	0	0	1422
311	ENSP00000217320	0	2	0	0	753
312	ENSP00000216225	0	1	0	0	366
313	ENSP00000216366	2	0	3	1	477
314	ENSP00000216484	0	5	11	17	1698
315	ENSP00000218721	4	7	24	17	1236
316	ENSP00000215838	6	5	49	29	1281
317	ENSP00000215567	4	3	0	2	1092
318	ENSP00000218075	3	12	0	0	1356
319	ENSP00000219302	0	2	16	3	507
320	ENSP00000216492	0	4	44	16	1377
321	ENSP00000219833	1	3	0	0	1905
322	ENSP00000215909	0	2	4	2	405
323	ENSP00000217195	1	0	4	7	597
324	ENSP00000216177	7	5	0	0	1287
325	ENSP00000215095	8	3	5	7	2019
326	ENSP00000216862	7	3	46	33	1542
327	ENSP00000216133	0	2	6	8	903
328	ENSP00000217043	2	0	13	11	759
329	ENSP00000218436	8	8	58	16	3939
330	ENSP00000216797	1	2	9	10	1389
331	ENSP00000219240	1	6	8	2	1185
332	ENSP00000216160	0	5	33	43	2040
333	ENSP00000216214	6	4	16	15	1098
334	ENSP00000216039	0	0	3	4	606
335	ENSP00000216075	1	2	4	1	855
336	ENSP00000216807	0	3	7	4	969
337	ENSP00000210060	2	3	5	1	1107
338	ENSP00000218548	5	8	78	48	3135
339	ENSP00000216027	3	0	11	5	705
340	ENSP00000217246	7	4	31	10	1275
341	ENSP00000219066	3	6	30	8	936
342	ENSP00000216237	2	4	29	30	2313
343	ENSP00000216923	2	7	0	0	2517
344	ENSP00000219281	4	0	4	4	798
345	ENSP00000215754	0	1	8	1	345
346	ENSP00000219481	3	4	31	15	882
347	ENSP00000216336	6	6	10	9	843
348	ENSP00000216455	0	1	2	8	765
349	ENSP00000217026	11	12	2	2	2106
350	ENSP00000217131	0	1	16	11	1350
351	ENSP00000218008	1	1	1	0	1071
352	ENSP00000215939	4	4	0	0	756
353	ENSP00000216733	2	7	41	24	1683
354	ENSP00000217372	2	10	0	0	1947
355	ENSP00000215730	1	1	14	4	954
356	ENSP00000216037	0	0	11	2	1695
357	ENSP00000217121	0	1	0	0	687
358	ENSP00000216714	1	2	0	0	984
359	ENSP00000218006	6	7	39	14	3324
360	ENSP00000216500	1	2	3	0	1167
361	ENSP00000219905	14	14	92	46	9558
362	ENSP00000212355	6	12	39	28	2583
363	ENSP00000216218	0	0	8	4	1107
364	ENSP00000219244	0	1	10	4	282
365	ENSP00000219409	4	5	0	0	786
366	ENSP00000215906	0	3	18	23	1107
367	ENSP00000216489	1	2	27	9	1167
368	ENSP00000216185	0	0	5	4	615
369	ENSP00000216330	0	1	7	4	672
370	ENSP00000219255	2	0	0	0	1038
371	ENSP00000216122	3	6	62	33	2202
372	ENSP00000216420	0	0	5	3	996
373	ENSP00000219271	2	10	70	50	2025
374	ENSP00000219207	1	2	2	0	546
375	ENSP00000216071	1	1	26	10	870
376	ENSP00000217420	1	6	13	12	1608
377	ENSP00000217133	2	2	49	22	1356
378	ENSP00000216036	3	6	33	15	1044
379	ENSP00000219301	4	4	0	0	1236
380	ENSP00000218867	3	2	30	14	873
381	ENSP00000215781	1	1	28	14	756
382	ENSP00000216962	0	11	61	54	2700
383	ENSP00000219368	0	1	22	27	1116
384	ENSP00000216602	3	3	9	11	756
385	ENSP00000216259	0	2	13	9	786
386	ENSP00000217182	0	3	3	25	1389
387	ENSP00000217188	2	9	70	39	1476
388	ENSP00000215882	1	0	10	4	933
389	ENSP00000217173	2	3	27	16	1731
390	ENSP00000218004	0	0	1	1	591
391	ENSP00000216373	2	11	57	36	4086
392	ENSP00000219476	6	25	109	115	5517
393	ENSP00000216465	8	2	21	8	651
394	ENSP00000215061	2	0	16	6	888
395	ENSP00000217515	0	1	4	6	903
396	ENSP00000219069	5	3	36	18	2049
397	ENSP00000217961	7	4	31	14	1770
398	ENSP00000215582	11	9	104	66	2037
399	ENSP00000217958	0	0	5	2	678
400	ENSP00000215917	1	1	19	8	1017
401	ENSP00000216106	1	5	33	11	1803
402	ENSP00000217260	4	1	37	15	981
403	ENSP00000216341	6	3	7	2	867
404	ENSP00000216639	0	3	13	4	1272
405	ENSP00000216068	0	0	3	3	315
406	ENSP00000216038	0	3	21	19	1515
407	ENSP00000219439	1	3	22	17	990
408	ENSP00000210313	0	1	0	1	1581
409	ENSP00000218230	0	2	1	2	780
410	ENSP00000219431	3	2	0	0	915
411	ENSP00000216727	10	11	0	0	918
412	ENSP00000219070	1	6	3	3	1992
413	ENSP00000218316	12	2	20	11	1890
414	ENSP00000215941	0	3	12	6	918
415	ENSP00000210444	0	3	18	6	1206
416	ENSP00000216252	0	0	0	1	330
417	ENSP00000219599	1	4	0	0	942
418	ENSP00000215980	0	1	11	10	540
419	ENSP00000217740	0	0	6	8	696
420	ENSP00000216629	3	2	4	0	1143
421	ENSP00000219150	1	1	4	13	1383
422	ENSP00000216832	4	7	29	13	2163
423	ENSP00000211936	0	3	30	18	2253
424	ENSP00000219139	0	3	0	0	1266
425	ENSP00000215885	9	3	57	32	1617
426	ENSP00000216911	1	7	0	0	1212
427	ENSP00000215812	5	4	9	3	1200
428	ENSP00000215570	0	0	10	3	285
429	ENSP00000216200	1	2	0	0	330
430	ENSP00000211314	0	1	8	4	297
431	ENSP00000216127	0	2	12	20	798
432	ENSP00000216101	0	0	1	3	717
433	ENSP00000217109	0	9	0	13	1293
434	ENSP00000217455	1	1	16	10	957
435	ENSP00000216416	0	2	3	1	480
436	ENSP00000219345	2	2	0	0	1278
437	ENSP00000216392	0	10	0	0	2553
438	ENSP00000216124	2	7	0	0	1527
439	ENSP00000217446	0	2	17	11	1305
440	ENSP00000216241	6	1	8	4	2286
441	ENSP00000215530	1	2	14	3	540
442	ENSP00000216144	0	1	9	10	645
443	ENSP00000216254	1	9	31	44	2436
444	ENSP00000218099	3	2	9	9	1485
445	ENSP00000216487	13	17	57	49	2955
446	ENSP00000221466	0	3	28	19	1197
447	ENSP00000221859	0	2	3	5	375
448	ENSP00000225688	0	2	12	5	873
449	ENSP00000226413	1	4	9	10	984
450	ENSP00000225171	3	0	11	4	684
451	ENSP00000221476	0	5	31	21	1143
452	ENSP00000226091	2	1	12	7	1020
453	ENSP00000225474	1	3	0	0	621
454	ENSP00000220822	1	3	11	10	1074
455	ENSP00000226247	12	5	0	0	1944
456	ENSP00000220764	1	2	12	5	1047
457	ENSP00000221730	1	2	15	10	1080
458	ENSP00000221138	0	1	3	8	927
459	ENSP00000225927	1	4	24	30	2229
460	ENSP00000223073	0	5	57	22	2340
461	ENSP00000221462	1	7	35	35	2073
462	ENSP00000220062	2	4	25	13	798
463	ENSP00000221496	4	8	64	18	1683
464	ENSP00000226193	0	3	16	10	600
465	ENSP00000222674	3	1	23	6	588
466	ENSP00000220478	0	2	20	21	1773
467	ENSP00000229239	0	3	10	23	1005
468	ENSP00000228641	0	0	23	5	726
469	ENSP00000225525	0	2	0	3	372
470	ENSP00000228434	1	1	0	0	621
471	ENSP00000224337	2	3	25	19	1368
472	ENSP00000222693	0	2	15	3	486
473	ENSP00000229214	1	3	19	12	1143
474	ENSP00000225899	3	3	91	31	1344
475	ENSP00000221856	0	3	19	21	1488
476	ENSP00000221086	0	13	58	26	1647
477	ENSP00000222725	2	6	2	1	1467
478	ENSP00000223369	0	1	0	0	594
479	ENSP00000229416	1	1	0	0	1911
480	ENSP00000225174	1	2	6	3	627
481	ENSP00000229402	3	2	0	0	675
482	ENSP00000227525	1	1	17	11	729
483	ENSP00000225823	0	2	5	3	2463
484	ENSP00000225729	0	0	0	1	1185
485	ENSP00000229583	2	5	0	0	879
486	ENSP00000220509	2	7	72	44	2919
487	ENSP00000221233	1	2	11	12	705
488	ENSP00000221265	0	2	9	15	1599
489	ENSP00000222390	1	1	0	0	2541
490	ENSP00000228606	2	7	27	27	1524
491	ENSP00000221399	6	1	28	12	1851
492	ENSP00000225387	1	4	18	2	645
493	ENSP00000228820	2	0	0	0	1014
494	ENSP00000223864	0	2	17	8	441
495	ENSP00000228136	0	0	2	4	549
496	ENSP00000223023	0	4	16	11	1539
497	ENSP00000222481	1	2	26	9	1257
498	ENSP00000224652	5	3	21	17	1887
499	ENSP00000221538	4	6	59	20	2151
500	ENSP00000222399	11	20	0	0	5532
501	ENSP00000226299	0	10	26	20	1557
502	ENSP00000228872	0	0	24	14	732
503	ENSP00000221480	6	5	22	9	723
504	ENSP00000222248	3	3	42	37	1956
505	ENSP00000222115	2	2	0	0	1836
506	ENSP00000223321	0	0	0	0	702
507	ENSP00000226730	0	0	5	3	459
508	ENSP00000223026	5	6	43	11	1443
509	ENSP00000228799	0	8	31	16	1341
510	ENSP00000229633	0	1	12	7	642
511	ENSP00000222139	2	1	26	22	1524
512	ENSP00000220772	0	2	10	5	1077
513	ENSP00000229379	0	1	13	4	327
514	ENSP00000229955	1	3	24	10	1257
515	ENSP00000225609	2	0	9	5	756
516	ENSP00000224950	1	2	26	10	1104
517	ENSP00000226524	6	3	3	7	312
518	ENSP00000226284	5	5	31	12	951
519	ENSP00000222005	0	4	9	6	1167
520	ENSP00000221459	0	3	0	2	744
521	ENSP00000228567	2	8	31	21	1569
522	ENSP00000220507	0	1	4	9	783
523	ENSP00000221403	8	6	35	11	1002
524	ENSP00000228850	20	13	0	0	2574
525	ENSP00000228437	2	7	21	21	2403
526	ENSP00000222547	0	0	5	0	354
527	ENSP00000225235	0	2	3	3	2337
528	ENSP00000228463	7	7	0	0	1284
529	ENSP00000228251	0	0	19	2	1146
530	ENSP00000229395	0	1	14	8	777
531	ENSP00000225538	1	4	25	27	1197
532	ENSP00000227752	6	7	49	34	1734
533	ENSP00000223145	0	0	14	11	1644
534	ENSP00000228865	4	1	1	2	615
535	ENSP00000229729	2	7	38	21	2289
536	ENSP00000220420	6	7	51	33	2160
537	ENSP00000229771	3	2	6	3	1626
538	ENSP00000220812	2	0	22	6	672
539	ENSP00000222339	1	2	51	32	2958
540	ENSP00000223836	1	2	0	0	630
541	ENSP00000222982	3	2	30	12	1506
542	ENSP00000221957	8	10	22	18	1449
543	ENSP00000227474	4	3	0	0	1443
544	ENSP00000229238	1	0	1	1	384
545	ENSP00000228936	3	1	3	1	993
546	ENSP00000221801	4	2	13	3	1014
547	ENSP00000229554	1	3	3	0	2151
548	ENSP00000221742	1	3	6	3	1773
549	ENSP00000220853	0	1	6	2	969
550	ENSP00000221561	0	4	1	11	834
551	ENSP00000222543	1	3	11	2	705
552	ENSP00000224784	0	5	6	9	1365
553	ENSP00000222256	0	0	4	6	783
554	ENSP00000225296	4	7	49	28	2298
555	ENSP00000220003	0	3	11	18	1350
556	ENSP00000221485	0	1	20	21	1710
557	ENSP00000228705	0	3	23	13	1542
558	ENSP00000228887	3	4	27	23	1035
559	ENSP00000228468	137	67	11	21	1932
560	ENSP00000225969	1	0	8	4	453
561	ENSP00000227155	1	4	8	17	801
562	ENSP00000222214	1	6	22	20	1314
563	ENSP00000226207	11	24	153	66	5820
564	ENSP00000226225	1	0	0	0	948
565	ENSP00000228740	0	2	18	20	1842
566	ENSP00000222329	1	7	17	31	1719
567	ENSP00000225512	0	4	2	12	1194
568	ENSP00000221452	18	17	19	33	1896
569	ENSP00000228841	1	0	6	11	531
570	ENSP00000221891	5	9	0	0	1959
571	ENSP00000227520	4	7	27	15	1080
572	ENSP00000227163	0	1	0	0	813
573	ENSP00000222284	0	3	15	6	672
574	ENSP00000225792	0	6	10	11	1842
575	ENSP00000225665	0	3	10	14	1026
576	ENSP00000222968	0	0	6	5	543
577	ENSP00000229134	0	1	6	4	513
578	ENSP00000228928	7	4	98	32	3336
579	ENSP00000222990	2	8	27	32	1470
580	ENSP00000226218	2	3	22	11	1434
581	ENSP00000222250	2	6	2	1	1251
582	ENSP00000226760	6	28	0	0	2892
583	ENSP00000229595	0	3	2	6	612
584	ENSP00000227880	6	5	15	7	2112
585	ENSP00000222382	4	8	5	2	1512
586	ENSP00000225276	1	2	23	14	1173
587	ENSP00000229332	2	2	0	0	711
588	ENSP00000227756	0	4	38	42	1821
589	ENSP00000228682	9	7	4	1	3318
590	ENSP00000225724	1	1	6	5	750
591	ENSP00000225983	1	9	40	43	3669
592	ENSP00000220763	5	3	25	17	1416
593	ENSP00000226067	0	2	6	7	885
594	ENSP00000226004	0	1	11	5	555
595	ENSP00000222823	1	14	106	48	2859
596	ENSP00000225698	1	3	16	8	846
597	ENSP00000222598	0	2	18	12	867
598	ENSP00000222567	1	6	24	16	1017
599	ENSP00000221543	1	14	48	29	1944
600	ENSP00000220659	0	5	38	15	1272
601	ENSP00000223500	0	2	1	3	657
602	ENSP00000226578	6	10	5	1	2637
603	ENSP00000222219	4	5	23	9	1080
604	ENSP00000220676	27	8	129	48	6471
605	ENSP00000229328	0	3	12	9	810
606	ENSP00000221130	4	9	22	12	1587
607	ENSP00000226021	1	0	25	12	666
608	ENSP00000225719	4	5	51	18	4140
609	ENSP00000229340	0	1	2	4	1101
610	ENSP00000223324	3	2	19	6	564
611	ENSP00000226796	1	2	0	0	654
612	ENSP00000220325	0	1	36	27	1623
613	ENSP00000220166	1	3	20	10	1005
614	ENSP00000228741	1	4	21	14	1221
615	ENSP00000221494	0	6	8	21	1557
616	ENSP00000227638	4	4	38	15	1278
617	ENSP00000220429	0	2	0	0	1185
618	ENSP00000226105	1	5	11	10	558
619	ENSP00000222381	2	3	30	7	1065
620	ENSP00000221515	2	0	9	5	324
621	ENSP00000221671	4	9	27	22	1986
622	ENSP00000222145	0	3	11	19	2904
623	ENSP00000226951	5	2	41	13	1329
624	ENSP00000223215	0	1	2	0	1005
625	ENSP00000227065	17	2	0	0	2325
626	ENSP00000229795	12	10	3	5	1107
627	ENSP00000220616	34	28	264	100	8367
628	ENSP00000220913	0	0	5	1	393
629	ENSP00000227266	4	3	28	10	1389
630	ENSP00000221973	2	0	17	13	645
631	ENSP00000226253	1	1	0	0	1128
632	ENSP00000221573	3	5	18	16	1017
633	ENSP00000226230	3	3	8	4	951
634	ENSP00000221566	8	8	15	32	957
635	ENSP00000228945	0	3	3	5	603
636	ENSP00000226432	4	3	52	23	2097
637	ENSP00000229903	2	2	8	0	549
638	ENSP00000224862	1	4	2	1	1212
639	ENSP00000221486	4	5	13	12	900
640	ENSP00000225941	2	7	19	8	1098
641	ENSP00000223208	1	4	17	9	1155
642	ENSP00000227348	3	7	23	16	1179
