Query	pongo_abelii	pan_troglodytes	pan_paniscus	gorilla_gorilla
ENSP00000394029	NA	NA	NA	NA
ENSP00000422768	NA	NA	NA	NA
ENSP00000398688	ENSPPYP00000016047	ENSPTRP00000026984	ENSPPAP00000008689	ENSGGOP00000034661
ENSP00000422766	NA	NA	NA	NA
ENSP00000394024	NA	NA	NA	NA
ENSP00000422764	NA	NA	NA	NA
ENSP00000494171	ENSPPYP00000020834	ENSPTRP00000034651	ENSPPAP00000003717	ENSGGOP00000000945
ENSP00000422762	NA	NA	NA	NA
ENSP00000422763	NA	NA	NA	NA
ENSP00000394023	NA	NA	NA	NA
ENSP00000494175	ENSPPYP00000004109	ENSPTRP00000005700	ENSPPAP00000004625	ENSGGOP00000022371
ENSP00000389105	NA	NA	NA	NA
ENSP00000371483	ENSPPYP00000016368	ENSPTRP00000027486	ENSPPAP00000016927	ENSGGOP00000027403
ENSP00000413407	NA	NA	NA	NA
ENSP00000413406	NA	NA	NA	NA
ENSP00000413405	ENSPPYP00000016160	ENSPTRP00000085739	ENSPPAP00000036476	ENSGGOP00000006525
ENSP00000457273	NA	NA	NA	NA
ENSP00000413403	NA	NA	NA	NA
ENSP00000413402	NA	NA	NA	NA
ENSP00000413401	NA	NA	NA	NA
ENSP00000388164	NA	NA	NA	NA
ENSP00000442351	NA	NA	NA	NA
ENSP00000442350	NA	NA	NA	NA
ENSP00000476080	NA	NA	NA	NA
ENSP00000476081	NA	NA	NA	NA
ENSP00000388167	NA	NA	NA	NA
ENSP00000413409	NA	NA	NA	NA
ENSP00000305815	NA	NA	NA	NA
ENSP00000484340	NA	NA	NA	NA
ENSP00000484341	NA	NA	NA	NA
ENSP00000264203	NA	NA	NA	NA
ENSP00000264202	NA	NA	NA	NA
ENSP00000264205	NA	NA	NA	NA
ENSP00000484345	NA	NA	NA	NA
ENSP00000484290	NA	NA	NA	NA
ENSP00000488503	NA	NA	NA	NA
ENSP00000383937	NA	NA	NA	NA
ENSP00000383936	NA	NA	NA	NA
ENSP00000383935	NA	NA	NA	NA
ENSP00000383934	NA	NA	NA	NA
ENSP00000383933	NA	ENSPTRP00000066826	ENSPPAP00000032027	ENSGGOP00000047605
ENSP00000383932	NA	NA	NA	NA
ENSP00000383931	ENSPPYP00000016132	ENSPTRP00000070817	ENSPPAP00000027655	NA
ENSP00000383930	NA	NA	NA	NA
ENSP00000398686	NA	NA	NA	NA
ENSP00000383939	NA	NA	NA	NA
ENSP00000383938	ENSPPYP00000013353	ENSPTRP00000056512	ENSPPAP00000003217	ENSGGOP00000007930
ENSP00000343629	ENSPPYP00000000594	ENSPTRP00000082630	ENSPPAP00000027978	ENSGGOP00000011474
ENSP00000415806	NA	NA	NA	NA
ENSP00000415809	NA	NA	NA	NA
ENSP00000415808	NA	NA	NA	NA
ENSP00000343625	NA	NA	NA	NA
ENSP00000473562	NA	NA	NA	NA
ENSP00000473563	NA	NA	NA	NA
ENSP00000473560	NA	NA	NA	NA
ENSP00000473561	NA	NA	NA	NA
ENSP00000259234	NA	NA	NA	NA
ENSP00000259235	NA	NA	NA	NA
ENSP00000473564	NA	NA	NA	NA
ENSP00000259237	NA	NA	NA	NA
ENSP00000259238	NA	NA	NA	NA
ENSP00000251424	NA	NA	NA	NA
ENSP00000473569	NA	NA	NA	NA
ENSP00000470031	NA	NA	NA	NA
ENSP00000470033	NA	NA	NA	NA
ENSP00000470034	ENSPPYP00000011480	ENSPTRP00000019403	ENSPPAP00000020255	ENSGGOP00000046407
ENSP00000470037	NA	NA	NA	NA
ENSP00000409333	NA	NA	NA	NA
ENSP00000409331	NA	NA	NA	NA
ENSP00000393558	NA	NA	NA	NA
ENSP00000274458	ENSPPYP00000017563	ENSPTRP00000029356	ENSPPAP00000018306	ENSGGOP00000007169
ENSP00000409335	NA	NA	NA	NA
ENSP00000274457	ENSPPYP00000017556	ENSPTRP00000029345	ENSPPAP00000033163	ENSGGOP00000007066
ENSP00000393557	ENSPPYP00000016544	ENSPTRP00000063798	ENSPPAP00000038417	ENSGGOP00000020875
ENSP00000393551	NA	NA	NA	NA
ENSP00000393552	NA	NA	NA	NA
ENSP00000493734	NA	NA	NA	NA
ENSP00000458943	NA	NA	NA	NA
ENSP00000458942	NA	NA	NA	NA
ENSP00000448637	NA	NA	NA	NA
ENSP00000458946	NA	NA	NA	NA
ENSP00000458948	NA	NA	NA	NA
ENSP00000455984	NA	NA	NA	NA
ENSP00000460933	NA	NA	NA	NA
ENSP00000460935	NA	NA	NA	NA
ENSP00000450729	NA	NA	NA	NA
ENSP00000450728	NA	NA	NA	NA
ENSP00000460939	NA	NA	NA	NA
ENSP00000450726	NA	NA	NA	NA
ENSP00000450725	NA	NA	NA	NA
ENSP00000450724	NA	NA	NA	NA
ENSP00000459092	NA	NA	NA	NA
ENSP00000450722	NA	NA	NA	NA
ENSP00000495621	NA	NA	NA	NA
ENSP00000328423	ENSPPYP00000007512	ENSPTRP00000064177	ENSPPAP00000000974	ENSGGOP00000000729
ENSP00000328420	NA	NA	NA	NA
ENSP00000432548	NA	NA	NA	NA
ENSP00000495625	NA	NA	NA	NA
ENSP00000495624	NA	NA	NA	NA
ENSP00000436988	NA	NA	NA	NA
ENSP00000432543	NA	NA	NA	NA
ENSP00000495628	NA	NA	NA	NA
ENSP00000432541	NA	NA	NA	NA
ENSP00000432540	NA	NA	NA	NA
ENSP00000432547	NA	NA	NA	NA
ENSP00000432546	NA	NA	NA	NA
ENSP00000432544	NA	NA	NA	NA
ENSP00000480245	NA	NA	NA	NA
ENSP00000367686	ENSPPYP00000011966	ENSPTRP00000022716	ENSPPAP00000005883	ENSGGOP00000005010
ENSP00000480246	NA	NA	NA	NA
ENSP00000473476	NA	NA	NA	NA
ENSP00000367682	NA	NA	NA	NA
ENSP00000261353	NA	NA	NA	NA
ENSP00000344392	ENSPPYP00000024018	ENSPTRP00000086860	ENSPPAP00000009800	ENSGGOP00000031389
ENSP00000344393	ENSPPYP00000006810	ENSPTRP00000011102	ENSPPAP00000039219	ENSGGOP00000015915
ENSP00000376919	ENSPPYP00000009296	ENSPTRP00000083997	ENSPPAP00000006518	ENSGGOP00000027847
ENSP00000376915	NA	NA	NA	NA
ENSP00000376911	ENSPPYP00000006913	ENSPTRP00000011347	ENSPPAP00000031644	ENSGGOP00000018826
ENSP00000376910	ENSPPYP00000005483	ENSPTRP00000008962	ENSPPAP00000012779	ENSGGOP00000009848
ENSP00000362634	ENSPPYP00000001836	ENSPTRP00000000847	ENSPPAP00000022543	ENSGGOP00000012793
ENSP00000479518	ENSPPYP00000009228	ENSPTRP00000015424	ENSPPAP00000021922	ENSGGOP00000007766
ENSP00000479515	NA	NA	NA	NA
ENSP00000479516	NA	NA	NA	NA
ENSP00000479510	ENSPPYP00000013225	ENSPTRP00000092067	ENSPPAP00000005017	ENSGGOP00000019379
ENSP00000479512	NA	NA	NA	NA
ENSP00000408060	NA	NA	NA	NA
ENSP00000408062	NA	NA	NA	NA
ENSP00000473470	NA	NA	NA	NA
ENSP00000408066	NA	NA	NA	NA
ENSP00000395301	NA	NA	NA	NA
ENSP00000387308	NA	NA	NA	NA
ENSP00000387309	NA	NA	NA	NA
ENSP00000287820	ENSPPYP00000015259	ENSPTRP00000076701	ENSPPAP00000011736	ENSGGOP00000032598
ENSP00000456779	NA	NA	NA	NA
ENSP00000387300	NA	NA	NA	NA
ENSP00000387301	NA	NA	NA	NA
ENSP00000387303	ENSPPYP00000007024	ENSPTRP00000011546	ENSPPAP00000007928	ENSGGOP00000000801
ENSP00000387305	NA	NA	NA	NA
ENSP00000387307	NA	NA	NA	NA
ENSP00000380657	NA	NA	NA	NA
ENSP00000380654	NA	NA	NA	NA
ENSP00000380653	NA	NA	NA	NA
ENSP00000399082	NA	NA	NA	NA
ENSP00000380651	NA	NA	NA	NA
ENSP00000462798	NA	NA	NA	NA
ENSP00000462797	NA	NA	NA	NA
ENSP00000462796	NA	NA	NA	NA
ENSP00000399083	NA	NA	NA	NA
ENSP00000453207	NA	NA	NA	NA
ENSP00000462791	NA	NA	NA	NA
ENSP00000462790	NA	NA	NA	NA
ENSP00000373242	NA	NA	NA	NA
ENSP00000438228	NA	NA	NA	NA
ENSP00000373240	NA	NA	NA	NA
ENSP00000373244	ENSPPYP00000015568	ENSPTRP00000082765	ENSPPAP00000037981	ENSGGOP00000014482
ENSP00000482553	NA	NA	NA	NA
ENSP00000453200	NA	NA	NA	NA
ENSP00000474642	NA	NA	NA	NA
ENSP00000309457	ENSPPYP00000019750	ENSPTRP00000074062	ENSPPAP00000034562	ENSGGOP00000006538
ENSP00000497669	NA	ENSPTRP00000014135	ENSPPAP00000001810	NA
ENSP00000497668	NA	NA	NA	NA
ENSP00000474646	NA	NA	NA	NA
ENSP00000474647	NA	NA	NA	NA
ENSP00000474645	NA	NA	NA	NA
ENSP00000497663	NA	NA	NA	NA
ENSP00000497662	NA	NA	NA	NA
ENSP00000497661	NA	NA	NA	NA
ENSP00000497660	NA	NA	NA	NA
ENSP00000497667	NA	NA	NA	NA
ENSP00000497666	NA	NA	NA	NA
ENSP00000497665	NA	NA	NA	NA
ENSP00000497664	NA	NA	NA	NA
ENSP00000430945	ENSPPYP00000021220	ENSPTRP00000078539	ENSPPAP00000019616	ENSGGOP00000027950
ENSP00000430944	NA	NA	NA	NA
ENSP00000333266	ENSPPYP00000015508	ENSPTRP00000025778	ENSPPAP00000012303	ENSGGOP00000028165
ENSP00000430946	NA	NA	NA	NA
ENSP00000430941	NA	NA	NA	NA
ENSP00000430940	NA	NA	NA	NA
ENSP00000430943	NA	NA	NA	NA
ENSP00000327396	NA	NA	NA	NA
ENSP00000430949	NA	NA	NA	NA
ENSP00000430948	NA	NA	NA	NA
ENSP00000492108	ENSPPYP00000007871	ENSPTRP00000083840	ENSPPAP00000002564	ENSGGOP00000036773
ENSP00000363056	NA	NA	NA	NA
ENSP00000363057	NA	NA	NA	NA
ENSP00000363054	ENSPPYP00000001911	ENSPTRP00000000729	ENSPPAP00000037024	ENSGGOP00000047067
ENSP00000492102	NA	NA	NA	NA
ENSP00000363052	NA	NA	NA	NA
ENSP00000461684	NA	NA	NA	NA
ENSP00000461686	NA	NA	NA	NA
ENSP00000461680	NA	NA	NA	NA
ENSP00000461682	NA	NA	NA	NA
ENSP00000461688	NA	NA	NA	NA
ENSP00000476869	NA	NA	NA	NA
ENSP00000476866	NA	NA	NA	NA
ENSP00000476867	NA	NA	NA	NA
ENSP00000476861	NA	NA	NA	NA
ENSP00000476863	NA	NA	NA	NA
ENSP00000457420	NA	NA	NA	NA
ENSP00000425356	NA	NA	NA	NA
ENSP00000457423	NA	NA	NA	NA
ENSP00000425357	NA	NA	NA	NA
ENSP00000424904	NA	NA	NA	NA
ENSP00000398358	NA	NA	NA	NA
ENSP00000451413	NA	NA	NA	NA
ENSP00000477716	ENSPPYP00000011762	ENSPTRP00000019925	ENSPPAP00000013119	NA
ENSP00000451410	NA	NA	NA	NA
ENSP00000457427	NA	NA	NA	NA
ENSP00000497089	NA	NA	NA	NA
ENSP00000497088	NA	NA	NA	NA
ENSP00000497087	NA	NA	NA	NA
ENSP00000497086	NA	NA	NA	NA
ENSP00000497085	NA	NA	NA	NA
ENSP00000497084	NA	NA	NA	NA
ENSP00000497083	NA	NA	NA	NA
ENSP00000497082	NA	NA	NA	NA
ENSP00000497081	NA	NA	NA	NA
ENSP00000497080	NA	NA	NA	NA
ENSP00000372112	ENSPPYP00000007888	ENSPTRP00000082913	ENSPPAP00000018298	ENSGGOP00000023586
ENSP00000000442	NA	NA	NA	NA
ENSP00000372117	NA	NA	NA	NA
ENSP00000306285	ENSPPYP00000019019	ENSPTRP00000070870	ENSPPAP00000009450	ENSGGOP00000029939
ENSP00000251808	ENSPPYP00000021080	ENSPTRP00000035022	ENSPPAP00000040171	ENSGGOP00000027105
ENSP00000475511	NA	NA	NA	NA
ENSP00000299727	ENSPPYP00000010387	ENSPTRP00000017206	ENSPPAP00000011185	ENSGGOP00000001327
ENSP00000475512	NA	NA	NA	NA
ENSP00000299721	ENSPPYP00000010323	ENSPTRP00000017092	ENSPPAP00000013384	ENSGGOP00000006604
ENSP00000475519	NA	NA	NA	NA
ENSP00000383108	NA	NA	NA	NA
ENSP00000301873	ENSPPYP00000003545	ENSPTRP00000006692	ENSPPAP00000026860	ENSGGOP00000024961
ENSP00000468306	NA	NA	NA	NA
ENSP00000468304	NA	ENSPTRP00000086891	ENSPPAP00000008791	ENSGGOP00000028162
ENSP00000473918	NA	NA	NA	NA
ENSP00000468302	NA	NA	NA	NA
ENSP00000468301	NA	NA	NA	NA
ENSP00000302783	ENSPPYP00000008931	ENSPTRP00000014857	ENSPPAP00000012235	ENSGGOP00000006305
ENSP00000473912	NA	NA	NA	NA
ENSP00000302781	NA	NA	NA	NA
ENSP00000473910	NA	NA	NA	NA
ENSP00000473916	NA	NA	NA	NA
ENSP00000468308	ENSPPYP00000010057	ENSPTRP00000052772	ENSPPAP00000024096	ENSGGOP00000003050
ENSP00000468309	NA	NA	NA	NA
ENSP00000460153	NA	NA	NA	NA
ENSP00000460152	NA	NA	NA	NA
ENSP00000460151	NA	NA	NA	NA
ENSP00000460150	NA	NA	NA	NA
ENSP00000460157	NA	NA	NA	NA
ENSP00000460156	NA	NA	NA	NA
ENSP00000460155	NA	NA	NA	NA
ENSP00000468989	NA	NA	NA	NA
ENSP00000339659	ENSPPYP00000016907	ENSPTRP00000093180	ENSPPAP00000031415	ENSGGOP00000028769
ENSP00000411503	NA	NA	NA	NA
ENSP00000458558	NA	NA	NA	NA
ENSP00000458559	NA	NA	NA	NA
ENSP00000458554	NA	NA	NA	NA
ENSP00000458556	NA	NA	NA	NA
ENSP00000458550	NA	NA	NA	NA
ENSP00000458552	NA	NA	NA	NA
ENSP00000274849	ENSPPYP00000018265	ENSPTRP00000030427	ENSPPAP00000042953	NA
ENSP00000435238	NA	NA	NA	NA
ENSP00000435239	NA	NA	NA	NA
ENSP00000435230	NA	NA	NA	NA
ENSP00000368040	NA	NA	NA	NA
ENSP00000435232	NA	NA	NA	NA
ENSP00000435233	ENSPPYP00000024304	ENSPTRP00000083895	ENSPPAP00000023921	ENSGGOP00000049090
ENSP00000435234	ENSPPYP00000011700	ENSPTRP00000019847	ENSPPAP00000008606	ENSGGOP00000013746
ENSP00000435235	NA	NA	NA	NA
ENSP00000435236	NA	NA	NA	NA
ENSP00000435237	NA	NA	NA	NA
ENSP00000253799	ENSPPYP00000009412	NA	ENSPPAP00000042556	ENSGGOP00000007815
ENSP00000297205	NA	NA	ENSPPAP00000006620	NA
ENSP00000498072	NA	NA	NA	NA
ENSP00000418455	NA	NA	NA	NA
ENSP00000418454	NA	NA	NA	NA
ENSP00000418457	NA	NA	NA	NA
ENSP00000418456	NA	NA	NA	NA
ENSP00000418451	NA	NA	NA	NA
ENSP00000418450	NA	NA	NA	NA
ENSP00000477742	NA	NA	NA	NA
ENSP00000379857	NA	NA	NA	NA
ENSP00000418459	NA	NA	NA	NA
ENSP00000418458	NA	NA	NA	NA
ENSP00000467682	NA	NA	NA	NA
ENSP00000408802	NA	NA	NA	NA
ENSP00000467680	NA	NA	NA	NA
ENSP00000467681	NA	NA	NA	NA
ENSP00000408806	NA	NA	NA	NA
ENSP00000467684	NA	NA	NA	NA
ENSP00000467685	NA	NA	NA	NA
ENSP00000467688	NA	NA	NA	NA
ENSP00000378180	NA	NA	NA	NA
ENSP00000378181	ENSPPYP00000008289	ENSPTRP00000081606	ENSPPAP00000031834	ENSGGOP00000026752
ENSP00000378182	NA	NA	NA	NA
ENSP00000378183	NA	NA	NA	NA
ENSP00000378184	NA	NA	NA	NA
ENSP00000303437	NA	NA	NA	NA
ENSP00000303434	ENSPPYP00000016854	ENSPTRP00000028273	ENSPPAP00000037377	ENSGGOP00000002014
ENSP00000378187	ENSPPYP00000008288	ENSPTRP00000062799	ENSPPAP00000007130	ENSGGOP00000030033
ENSP00000359978	ENSPPYP00000001449	ENSPTRP00000052194	ENSPPAP00000003121	ENSGGOP00000032587
ENSP00000498079	NA	NA	NA	NA
ENSP00000359970	NA	NA	NA	NA
ENSP00000359973	NA	NA	NA	NA
ENSP00000310193	NA	NA	NA	NA
ENSP00000359976	ENSPPYP00000024468	ENSPTRP00000001478	ENSPPAP00000014106	ENSGGOP00000016141
ENSP00000359977	NA	NA	NA	NA
ENSP00000397623	NA	NA	NA	NA
ENSP00000397620	NA	NA	NA	NA
ENSP00000381929	NA	NA	NA	NA
ENSP00000367251	NA	NA	NA	NA
ENSP00000456189	NA	NA	NA	NA
ENSP00000456188	NA	NA	NA	NA
ENSP00000248228	NA	NA	NA	NA
ENSP00000390636	NA	NA	NA	NA
ENSP00000272879	NA	NA	NA	NA
ENSP00000390630	NA	NA	NA	NA
ENSP00000419324	NA	NA	NA	NA
ENSP00000419325	NA	ENSPTRP00000079150	NA	ENSGGOP00000021081
ENSP00000419327	NA	NA	NA	NA
ENSP00000419320	NA	NA	NA	NA
ENSP00000419321	NA	NA	NA	NA
ENSP00000419322	NA	NA	NA	NA
ENSP00000378725	ENSPPYP00000006638	ENSPTRP00000057304	ENSPPAP00000011742	ENSGGOP00000031728
ENSP00000416790	NA	NA	NA	NA
ENSP00000419328	NA	NA	NA	NA
ENSP00000378721	ENSPPYP00000016625	ENSPTRP00000078084	ENSPPAP00000035677	ENSGGOP00000011337
ENSP00000378722	NA	NA	NA	NA
ENSP00000380971	NA	NA	NA	NA
ENSP00000334779	NA	NA	NA	NA
ENSP00000363809	ENSPPYP00000019325	ENSPTRP00000030803	ENSPPAP00000009993	ENSGGOP00000009603
ENSP00000363808	NA	NA	NA	NA
ENSP00000370531	ENSPPYP00000024346	ENSPTRP00000052571	ENSPPAP00000002881	ENSGGOP00000013765
ENSP00000363804	ENSPPYP00000021818	ENSPTRP00000036269	ENSPPAP00000003618	ENSGGOP00000028127
ENSP00000363807	NA	NA	NA	NA
ENSP00000334770	NA	NA	NA	NA
ENSP00000336733	ENSPPYP00000022006	ENSPTRP00000036585	ENSPPAP00000036442	ENSGGOP00000014322
ENSP00000229239	ENSPPYP00000004774	ENSPTRP00000007822	ENSPPAP00000034113	ENSGGOP00000009331
ENSP00000229238	ENSPPYP00000023477	ENSPTRP00000007820	ENSPPAP00000034322	ENSGGOP00000015800
ENSP00000336739	NA	NA	NA	NA
ENSP00000341987	NA	NA	NA	NA
ENSP00000326259	NA	NA	NA	NA
ENSP00000392000	NA	NA	NA	NA
ENSP00000326253	ENSPPYP00000010773	ENSPTRP00000018001	ENSPPAP00000006557	ENSGGOP00000001874
ENSP00000256852	NA	NA	NA	NA
ENSP00000317357	NA	ENSPTRP00000036250	ENSPPAP00000007146	ENSGGOP00000015825
ENSP00000256857	ENSPPYP00000010321	ENSPTRP00000017089	ENSPPAP00000040960	ENSGGOP00000002627
ENSP00000256858	NA	NA	NA	NA
ENSP00000484088	NA	NA	NA	NA
ENSP00000421991	NA	NA	NA	NA
ENSP00000266754	NA	NA	NA	NA
ENSP00000437210	NA	NA	NA	NA
ENSP00000437211	NA	NA	NA	NA
ENSP00000437212	NA	NA	NA	NA
ENSP00000437214	NA	NA	NA	NA
ENSP00000437215	NA	NA	NA	NA
ENSP00000437216	NA	NA	NA	NA
ENSP00000437217	NA	NA	NA	NA
ENSP00000437218	NA	NA	NA	NA
ENSP00000437219	NA	NA	NA	NA
ENSP00000477015	NA	NA	NA	NA
ENSP00000469820	NA	NA	NA	NA
ENSP00000449913	NA	NA	NA	NA
ENSP00000449911	NA	NA	NA	NA
ENSP00000360578	NA	NA	NA	NA
ENSP00000449917	NA	NA	NA	NA
ENSP00000469826	NA	NA	NA	NA
ENSP00000360575	NA	NA	NA	NA
ENSP00000360576	ENSPPYP00000022220	ENSPTRP00000040242	ENSPPAP00000031435	ENSGGOP00000050068
ENSP00000360577	ENSPPYP00000001559	ENSPTRP00000001280	ENSPPAP00000020358	ENSGGOP00000008840
ENSP00000360570	NA	NA	NA	NA
ENSP00000360573	NA	NA	NA	NA
ENSP00000483954	NA	NA	NA	NA
ENSP00000483951	NA	NA	NA	NA
ENSP00000483952	NA	NA	NA	NA
ENSP00000483953	NA	NA	NA	NA
ENSP00000483959	NA	NA	NA	NA
ENSP00000367034	NA	NA	NA	NA
ENSP00000367036	NA	NA	NA	NA
ENSP00000367030	ENSPPYP00000002461	ENSPTRP00000043696	ENSPPAP00000020777	ENSGGOP00000029109
ENSP00000446628	NA	NA	NA	NA
ENSP00000367032	ENSPPYP00000017237	ENSPTRP00000028845	ENSPPAP00000008130	ENSGGOP00000045532
ENSP00000446625	NA	NA	NA	NA
ENSP00000446624	NA	NA	NA	NA
ENSP00000446626	NA	NA	NA	NA
ENSP00000367038	ENSPPYP00000011992	ENSPTRP00000062013	ENSPPAP00000024674	ENSGGOP00000008825
ENSP00000367039	NA	NA	NA	NA
ENSP00000446623	NA	NA	NA	NA
ENSP00000446622	NA	NA	NA	NA
ENSP00000414750	ENSPPYP00000010273	ENSPTRP00000070013	NA	ENSGGOP00000006536
ENSP00000290390	NA	NA	NA	NA
ENSP00000365895	NA	ENSPTRP00000069491	ENSPPAP00000014196	ENSGGOP00000020985
ENSP00000365897	NA	NA	NA	NA
ENSP00000365891	ENSPPYP00000022741	NA	ENSPPAP00000018639	ENSGGOP00000021707
ENSP00000290399	ENSPPYP00000012731	ENSPTRP00000090727	ENSPPAP00000019538	ENSGGOP00000029460
ENSP00000365898	ENSPPYP00000021629	ENSPTRP00000049272	ENSPPAP00000036984	ENSGGOP00000049683
ENSP00000365899	ENSPPYP00000012046	ENSPTRP00000084613	ENSPPAP00000034673	ENSGGOP00000001266
ENSP00000479796	NA	NA	NA	NA
ENSP00000394394	NA	ENSPTRP00000046009	ENSPPAP00000024569	ENSGGOP00000014016
ENSP00000407941	NA	NA	NA	NA
ENSP00000316404	NA	NA	NA	NA
ENSP00000163416	ENSPPYP00000006914	ENSPTRP00000090829	ENSPPAP00000030805	ENSGGOP00000028314
ENSP00000005340	ENSPPYP00000008887	ENSPTRP00000014781	ENSPPAP00000016217	ENSGGOP00000026229
ENSP00000434749	NA	NA	NA	NA
ENSP00000430690	NA	ENSPTRP00000023989	ENSPPAP00000014103	ENSGGOP00000014316
ENSP00000434747	NA	NA	NA	NA
ENSP00000434745	NA	NA	NA	NA
ENSP00000406095	NA	NA	NA	NA
ENSP00000406092	NA	NA	NA	NA
ENSP00000434742	NA	NA	NA	NA
ENSP00000434741	NA	NA	NA	NA
ENSP00000434740	NA	NA	NA	NA
ENSP00000388533	NA	NA	NA	NA
ENSP00000388536	NA	NA	NA	NA
ENSP00000388537	NA	NA	NA	NA
ENSP00000313158	ENSPPYP00000017374	ENSPTRP00000029068	ENSPPAP00000038958	ENSGGOP00000004881
ENSP00000313159	ENSPPYP00000024620	ENSPTRP00000052649	ENSPPAP00000006500	ENSGGOP00000006705
ENSP00000390533	NA	NA	NA	NA
ENSP00000390531	NA	NA	NA	NA
ENSP00000390530	NA	NA	NA	NA
ENSP00000390537	NA	NA	NA	NA
ENSP00000390536	NA	NA	NA	NA
ENSP00000390535	ENSPPYP00000006500	ENSPTRP00000010577	ENSPPAP00000027922	ENSGGOP00000011562
ENSP00000398708	NA	NA	NA	NA
ENSP00000417471	NA	NA	NA	NA
ENSP00000398702	NA	NA	NA	NA
ENSP00000398704	NA	NA	NA	NA
ENSP00000398706	NA	NA	NA	NA
ENSP00000455508	NA	NA	NA	NA
ENSP00000386642	NA	NA	NA	NA
