	Prot_ID	dN	dS	pN	pS	MsaLen
69	ENSP00000052754	0	2	13	8	1077
70	ENSP00000053243	0	0	28	10	585
71	ENSP00000053468	3	2	17	16	603
72	ENSP00000053867	3	3	20	13	1794
73	ENSP00000054650	3	2	15	8	717
74	ENSP00000054666	0	0	4	9	366
75	ENSP00000054668	0	2	4	0	495
76	ENSP00000055335	2	7	6	6	2397
77	ENSP00000055682	4	15	0	1	4548
78	ENSP00000056217	1	5	11	7	4794
79	ENSP00000056233	10	7	70	23	2088
80	ENSP00000061240	2	14	62	37	3108
81	ENSP00000062104	0	0	0	0	243
82	ENSP00000064571	0	1	4	8	603
83	ENSP00000064778	0	1	6	13	732
84	ENSP00000064780	2	2	35	33	1290
85	ENSP00000070846	17	11	0	0	2643
86	ENSP00000072644	14	6	0	0	1035
87	ENSP00000074304	1	8	0	0	2934
88	ENSP00000075120	0	3	0	0	1488
89	ENSP00000075503	6	8	19	7	1266
90	ENSP00000078445	4	6	30	25	1383
91	ENSP00000080059	18	11	32	30	3213
92	ENSP00000083182	0	0	10	12	1767
93	ENSP00000084798	0	2	11	6	984
94	ENSP00000085068	4	3	0	0	663
95	ENSP00000085219	22	11	10	2	2541
96	ENSP00000086933	1	1	7	4	615
97	ENSP00000155858	13	15	0	1	3546
98	ENSP00000155926	1	0	13	16	1029
99	ENSP00000156084	0	4	0	0	1953
100	ENSP00000156109	3	2	11	7	1428
101	ENSP00000156471	2	14	46	30	4455
102	ENSP00000156626	5	7	19	4	1800
103	ENSP00000157600	1	4	25	9	1095
104	ENSP00000157812	18	13	5	21	1263
105	ENSP00000158009	0	1	24	16	972
106	ENSP00000158166	2	4	0	3	1821
107	ENSP00000158762	2	3	27	16	2220
108	ENSP00000158771	0	6	2	0	717
109	ENSP00000159060	5	7	59	16	1704
110	ENSP00000159087	0	7	10	1	3753
111	ENSP00000159111	6	20	0	0	3390
112	ENSP00000160373	6	7	102	46	5010
113	ENSP00000160827	5	7	10	5	2031
114	ENSP00000161006	16	12	20	8	1236
115	ENSP00000161863	3	9	75	34	4290
116	ENSP00000162044	0	1	14	3	1479
117	ENSP00000162391	3	1	0	0	1725
118	ENSP00000162749	3	3	16	8	1365
119	ENSP00000163416	17	12	46	21	2307
120	ENSP00000164133	2	2	5	5	1491
121	ENSP00000164139	1	9	1	2	2529
122	ENSP00000164227	1	1	11	18	1440
123	ENSP00000164305	2	3	18	11	1692
124	ENSP00000165524	0	0	14	4	261
125	ENSP00000166244	5	15	87	44	3075
126	ENSP00000167106	3	6	17	20	1095
127	ENSP00000167586	1	3	51	36	1494
128	ENSP00000169298	2	4	6	8	1218
129	ENSP00000169551	1	2	19	9	744
130	ENSP00000170150	3	4	49	35	1446
131	ENSP00000170168	25	19	113	76	3828
132	ENSP00000170447	4	7	15	13	1290
133	ENSP00000170564	8	8	67	40	2793
134	ENSP00000171111	0	5	21	20	1872
135	ENSP00000171887	17	27	1	0	5583
136	ENSP00000172229	0	5	23	27	1281
137	ENSP00000173229	0	0	7	5	1818
138	ENSP00000173527	0	2	0	6	1224
139	ENSP00000175091	0	2	11	12	699
140	ENSP00000175238	11	7	54	22	2331
141	ENSP00000175756	8	1	39	19	1392
142	ENSP00000176763	6	10	63	50	2904
143	ENSP00000177694	0	3	23	26	1608
144	ENSP00000177742	0	2	9	6	675
145	ENSP00000178638	1	5	28	24	1062
146	ENSP00000178640	0	1	22	10	1344
147	ENSP00000179259	3	1	0	0	813
148	ENSP00000180166	0	0	17	7	645
149	ENSP00000180173	2	5	51	37	1980
150	ENSP00000181383	4	2	0	0	1272
151	ENSP00000181796	0	2	3	1	939
152	ENSP00000181839	2	7	62	36	4536
153	ENSP00000182290	10	5	15	4	960
154	ENSP00000182527	1	2	13	6	1146
155	ENSP00000183605	0	3	2	2	783
156	ENSP00000184183	2	1	8	2	636
157	ENSP00000184266	0	0	6	2	567
158	ENSP00000185150	1	4	1	0	1449
159	ENSP00000185206	1	3	4	1	1230
160	ENSP00000186436	5	8	47	31	5829
161	ENSP00000188312	0	3	6	2	1188
162	ENSP00000188790	0	7	26	29	2280
163	ENSP00000190165	10	6	26	13	1416
164	ENSP00000192314	8	4	40	16	1431
165	ENSP00000192788	7	11	6	0	4320
166	ENSP00000193322	1	2	12	8	1020
167	ENSP00000193391	20	11	66	34	3735
168	ENSP00000194130	7	4	26	15	1911
169	ENSP00000194214	8	3	2	0	726
170	ENSP00000194530	1	4	7	7	1305
171	ENSP00000196061	11	17	35	30	2349
172	ENSP00000196371	20	7	15	22	1821
173	ENSP00000196489	1	2	24	13	1782
174	ENSP00000197268	17	14	43	33	2055
175	ENSP00000198801	0	2	17	12	1092
176	ENSP00000199280	1	5	1	2	813
177	ENSP00000199320	0	3	15	4	939
178	ENSP00000199447	15	5	44	23	1764
179	ENSP00000199708	0	5	10	9	426
180	ENSP00000199764	2	8	25	13	1032
181	ENSP00000199814	10	9	8	7	1284
182	ENSP00000199936	3	7	22	17	1161
183	ENSP00000200135	0	6	52	25	2337
184	ENSP00000200181	12	28	0	0	5727
185	ENSP00000200453	10	4	83	45	2052
186	ENSP00000200457	4	4	50	25	1428
187	ENSP00000200557	4	2	28	19	2514
188	ENSP00000200652	3	1	29	19	1653
189	ENSP00000200676	7	5	46	21	1515
190	ENSP00000200691	0	2	0	0	339
191	ENSP00000201586	5	5	34	16	1113
192	ENSP00000201647	10	12	20	11	2169
193	ENSP00000202017	1	1	6	6	399
194	ENSP00000202556	6	10	0	0	3270
195	ENSP00000202625	8	11	113	37	2238
196	ENSP00000202677	8	18	6	5	5877
197	ENSP00000202816	11	4	42	23	2556
198	ENSP00000202967	1	3	23	14	948
199	ENSP00000203001	1	3	20	19	1494
200	ENSP00000203407	0	4	29	17	1440
201	ENSP00000203556	4	9	65	41	2910
202	ENSP00000203629	6	8	25	8	1581
203	ENSP00000203630	1	5	3	10	942
204	ENSP00000203664	1	0	16	20	807
205	ENSP00000204517	1	2	16	14	1023
206	ENSP00000204549	0	3	10	12	1461
207	ENSP00000204566	0	2	12	7	951
208	ENSP00000204604	5	8	77	37	2892
209	ENSP00000204679	12	11	32	27	924
210	ENSP00000204726	22	21	112	84	4557
211	ENSP00000205061	0	10	25	38	3639
212	ENSP00000205214	5	3	0	0	3297
213	ENSP00000205402	0	4	34	16	1614
214	ENSP00000205636	2	0	12	5	549
215	ENSP00000205948	0	2	15	8	1035
216	ENSP00000206020	1	3	0	2	681
217	ENSP00000206423	4	8	74	34	2850
218	ENSP00000206513	1	2	26	15	852
219	ENSP00000206765	2	6	77	50	2454
220	ENSP00000207457	3	3	48	11	1359
221	ENSP00000207549	6	13	76	36	3282
222	ENSP00000207870	5	6	48	20	1815
223	ENSP00000209668	5	3	23	9	1125
224	ENSP00000209718	7	3	31	12	1362
225	ENSP00000209728	2	0	23	15	1680
226	ENSP00000209873	2	2	23	16	1638
227	ENSP00000209875	0	2	1	3	630
228	ENSP00000209884	0	3	16	12	1827
229	ENSP00000209929	1	5	46	18	1605
230	ENSP00000210060	2	3	5	1	1107
231	ENSP00000210187	11	4	1	0	906
232	ENSP00000210313	0	1	0	1	1560
233	ENSP00000210444	0	3	18	7	1188
234	ENSP00000210633	5	7	0	0	2529
235	ENSP00000211287	18	10	20	17	1128
236	ENSP00000211314	0	1	8	4	297
237	ENSP00000211936	0	3	30	18	2253
238	ENSP00000211998	0	3	52	38	3402
239	ENSP00000212355	6	12	39	28	2583
240	ENSP00000214869	0	0	12	1	681
241	ENSP00000215061	2	1	19	6	792
242	ENSP00000215095	38	19	5	8	1866
243	ENSP00000215375	0	3	0	0	576
244	ENSP00000215530	1	2	14	3	528
245	ENSP00000215567	9	4	0	3	1038
246	ENSP00000215570	0	0	10	3	285
247	ENSP00000215574	2	5	15	13	708
248	ENSP00000215582	11	9	104	66	2037
249	ENSP00000215631	0	0	9	4	543
250	ENSP00000215637	17	7	0	0	1350
251	ENSP00000215659	12	6	3	3	1113
252	ENSP00000215727	1	5	30	21	1497
253	ENSP00000215730	1	1	14	4	954
254	ENSP00000215743	3	9	25	20	1539
255	ENSP00000215754	0	1	8	1	345
256	ENSP00000215781	1	1	28	14	756
257	ENSP00000215793	0	3	25	19	2400
258	ENSP00000215812	5	4	9	3	1200
259	ENSP00000215829	0	1	0	7	378
260	ENSP00000215832	0	0	4	6	1194
261	ENSP00000215838	6	5	49	29	1281
262	ENSP00000215882	1	0	10	4	933
263	ENSP00000215885	9	3	57	32	1617
264	ENSP00000215886	1	1	15	9	408
265	ENSP00000215906	0	3	18	23	1107
266	ENSP00000215909	0	2	4	2	405
267	ENSP00000215912	2	2	12	11	789
268	ENSP00000215917	1	2	20	8	1017
269	ENSP00000215939	4	4	0	0	756
270	ENSP00000215941	0	3	12	6	900
271	ENSP00000215980	0	1	11	10	540
272	ENSP00000216024	0	2	7	14	1020
273	ENSP00000216027	3	0	11	5	705
274	ENSP00000216034	0	0	5	12	426
275	ENSP00000216036	3	6	33	15	1044
276	ENSP00000216037	16	9	11	2	1548
277	ENSP00000216038	0	3	21	19	1515
278	ENSP00000216039	0	0	3	4	606
279	ENSP00000216044	0	2	1	8	2037
280	ENSP00000216068	0	0	3	3	315
281	ENSP00000216071	1	1	26	10	870
282	ENSP00000216075	1	2	4	1	855
283	ENSP00000216101	0	0	1	3	678
284	ENSP00000216106	1	5	33	12	1803
285	ENSP00000216115	2	2	17	4	480
286	ENSP00000216117	0	4	17	7	936
287	ENSP00000216121	2	0	3	6	894
288	ENSP00000216122	3	6	62	33	2202
289	ENSP00000216124	2	7	0	0	1527
290	ENSP00000216127	0	2	12	20	798
291	ENSP00000216129	4	2	68	52	2001
292	ENSP00000216133	0	2	6	8	873
293	ENSP00000216144	0	1	9	10	645
294	ENSP00000216160	13	8	35	43	1974
295	ENSP00000216177	7	5	0	0	1287
296	ENSP00000216181	0	37	109	125	5970
297	ENSP00000216185	0	0	5	4	606
298	ENSP00000216190	0	4	5	16	1755
299	ENSP00000216200	1	2	0	0	330
300	ENSP00000216211	5	7	35	16	861
301	ENSP00000216214	12	8	16	15	1080
302	ENSP00000216218	0	0	8	4	1107
303	ENSP00000216223	8	5	46	17	1653
304	ENSP00000216225	0	1	0	0	348
305	ENSP00000216237	14	7	31	31	2196
306	ENSP00000216241	6	1	8	4	2286
307	ENSP00000216252	0	0	0	1	330
308	ENSP00000216254	2	9	31	44	2433
309	ENSP00000216259	0	2	13	9	786
310	ENSP00000216264	14	10	38	28	1794
311	ENSP00000216271	3	5	62	50	2007
312	ENSP00000216274	6	7	31	18	1554
313	ENSP00000216277	0	1	15	12	2235
314	ENSP00000216286	5	8	82	38	4161
315	ENSP00000216294	3	2	23	12	1104
316	ENSP00000216297	0	8	14	31	3141
317	ENSP00000216330	0	1	7	4	672
318	ENSP00000216336	7	6	13	8	831
319	ENSP00000216341	6	3	7	2	867
320	ENSP00000216366	2	0	3	1	477
321	ENSP00000216373	2	11	57	36	4065
322	ENSP00000216392	3	11	0	0	2544
323	ENSP00000216410	0	1	6	3	552
324	ENSP00000216416	0	2	3	1	480
325	ENSP00000216420	0	0	5	3	996
326	ENSP00000216442	0	0	0	0	741
327	ENSP00000216446	1	4	16	5	1098
328	ENSP00000216455	0	1	2	8	765
329	ENSP00000216465	8	2	21	8	651
330	ENSP00000216468	15	14	22	6	987
331	ENSP00000216471	13	4	43	17	2028
332	ENSP00000216479	1	0	5	8	1014
333	ENSP00000216484	0	5	11	17	1698
334	ENSP00000216487	13	17	57	49	2955
335	ENSP00000216489	1	2	27	9	1167
336	ENSP00000216492	0	4	43	16	1377
337	ENSP00000216500	1	2	3	0	1137
338	ENSP00000216513	1	4	30	8	2370
339	ENSP00000216540	3	4	32	11	1188
340	ENSP00000216602	3	3	9	11	756
341	ENSP00000216629	11	4	4	1	1344
342	ENSP00000216639	0	3	13	4	1272
343	ENSP00000216714	1	2	0	0	984
344	ENSP00000216727	11	11	0	0	984
345	ENSP00000216733	2	7	41	24	1683
346	ENSP00000216756	5	3	0	0	681
347	ENSP00000216780	3	6	0	0	1980
348	ENSP00000216797	1	2	9	10	1368
349	ENSP00000216802	1	1	0	1	717
350	ENSP00000216807	0	3	7	4	969
351	ENSP00000216832	4	7	29	13	2163
352	ENSP00000216862	7	3	46	33	1542
353	ENSP00000216911	1	7	0	0	1212
354	ENSP00000216923	2	7	0	0	2517
355	ENSP00000216962	0	11	61	54	2622
356	ENSP00000217026	11	12	2	2	2100
357	ENSP00000217043	2	0	13	11	759
358	ENSP00000217086	6	5	65	56	3159
359	ENSP00000217109	0	9	0	13	1293
360	ENSP00000217121	0	1	0	0	687
361	ENSP00000217131	0	1	16	11	1350
362	ENSP00000217133	2	2	49	22	1356
363	ENSP00000217159	7	15	68	55	2166
364	ENSP00000217169	4	6	9	2	894
365	ENSP00000217173	2	3	29	19	1689
366	ENSP00000217182	0	3	3	25	1389
367	ENSP00000217188	2	9	70	39	1476
368	ENSP00000217195	1	0	4	7	597
369	ENSP00000217246	7	4	31	10	1275
370	ENSP00000217260	4	1	37	15	951
371	ENSP00000217270	6	6	32	19	1152
372	ENSP00000217289	2	10	46	27	2106
373	ENSP00000217320	0	2	0	0	741
374	ENSP00000217372	2	10	0	0	1947
375	ENSP00000217381	3	1	38	27	1515
376	ENSP00000217407	8	5	71	24	2193
377	ENSP00000217420	1	6	13	12	1593
378	ENSP00000217426	6	4	22	21	1416
379	ENSP00000217446	0	2	17	11	1305
380	ENSP00000217455	1	1	16	10	957
381	ENSP00000217456	3	3	1	1	1248
382	ENSP00000217515	3	2	4	6	894
383	ENSP00000217740	0	0	6	8	696
384	ENSP00000217901	3	5	2	0	1179
385	ENSP00000217958	0	0	5	2	678
386	ENSP00000217961	7	4	31	14	1791
387	ENSP00000218004	0	0	1	1	591
388	ENSP00000218006	6	7	39	14	3324
389	ENSP00000218008	1	1	1	0	1071
390	ENSP00000218075	3	12	0	0	1356
391	ENSP00000218089	0	5	2	7	3804
392	ENSP00000218099	3	2	10	9	1473
393	ENSP00000218104	2	8	10	17	2235
394	ENSP00000218224	0	1	0	0	795
395	ENSP00000218230	0	2	1	2	780
396	ENSP00000218316	10	2	20	11	1890
397	ENSP00000218340	2	2	7	2	1050
398	ENSP00000218348	9	12	2	0	3183
399	ENSP00000218436	8	8	58	16	3939
400	ENSP00000218548	5	8	78	48	3135
401	ENSP00000218721	4	7	24	17	1236
402	ENSP00000218867	3	2	30	14	873
403	ENSP00000219022	2	5	44	23	1530
404	ENSP00000219066	3	6	30	8	936
405	ENSP00000219069	5	3	36	18	2049
406	ENSP00000219070	1	6	3	3	1992
407	ENSP00000219097	1	0	11	4	885
408	ENSP00000219139	0	3	0	0	1266
409	ENSP00000219150	1	1	4	13	1383
410	ENSP00000219162	0	1	5	4	186
411	ENSP00000219197	0	2	7	2	579
412	ENSP00000219204	0	1	8	3	525
413	ENSP00000219207	1	2	2	0	546
414	ENSP00000219240	1	6	8	2	1185
415	ENSP00000219244	0	1	10	4	282
416	ENSP00000219252	0	7	3	12	840
417	ENSP00000219255	2	0	0	0	1038
418	ENSP00000219271	3	10	70	50	2007
419	ENSP00000219281	4	0	4	4	798
420	ENSP00000219299	7	2	0	2	1131
421	ENSP00000219301	4	4	0	0	1236
422	ENSP00000219302	0	2	16	3	507
423	ENSP00000219315	1	4	0	0	1422
424	ENSP00000219334	2	6	30	28	2172
425	ENSP00000219345	2	2	0	0	1257
426	ENSP00000219368	0	1	22	27	1116
427	ENSP00000219400	0	0	4	2	336
428	ENSP00000219406	6	9	64	42	1575
429	ENSP00000219409	8	6	0	0	714
430	ENSP00000219431	3	2	0	0	894
431	ENSP00000219439	1	3	22	17	990
432	ENSP00000219454	0	2	30	6	660
433	ENSP00000219476	23	36	109	116	5454
434	ENSP00000219481	3	4	31	14	900
435	ENSP00000219548	0	2	2	5	909
436	ENSP00000219599	1	4	0	0	942
437	ENSP00000219611	15	20	44	78	3837
438	ENSP00000219660	2	3	12	11	783
439	ENSP00000219689	7	5	49	28	4140
440	ENSP00000219746	6	6	0	0	1779
441	ENSP00000219782	0	0	0	0	1650
442	ENSP00000219789	0	0	7	7	639
443	ENSP00000219833	12	4	0	0	1884
444	ENSP00000219905	14	15	92	46	9435
445	ENSP00000219919	5	5	7	1	885
446	ENSP00000220003	0	3	11	18	1350
447	ENSP00000220058	1	6	39	12	1167
448	ENSP00000220062	2	4	25	13	798
449	ENSP00000220166	1	3	20	10	1005
450	ENSP00000220325	0	1	36	27	1623
451	ENSP00000220420	6	7	51	33	2160
452	ENSP00000220429	0	2	0	0	1185
453	ENSP00000220478	0	2	20	21	1740
454	ENSP00000220496	2	2	19	13	960
455	ENSP00000220507	0	2	4	9	738
456	ENSP00000220509	2	7	72	44	2919
457	ENSP00000220562	1	9	49	36	2757
458	ENSP00000220597	4	1	24	16	1296
459	ENSP00000220616	34	28	264	100	8310
460	ENSP00000220659	0	5	38	15	1272
461	ENSP00000220669	2	2	0	0	804
462	ENSP00000220676	27	8	129	48	6471
463	ENSP00000220751	3	2	20	11	1656
464	ENSP00000220763	5	3	25	17	1416
465	ENSP00000220764	1	2	12	5	1047
466	ENSP00000220772	2	2	11	5	996
467	ENSP00000220809	2	7	0	0	1947
468	ENSP00000220812	2	0	22	6	672
469	ENSP00000220822	1	3	11	10	1074
470	ENSP00000220853	0	1	6	2	921
471	ENSP00000220913	0	0	5	1	393
472	ENSP00000220966	0	2	19	9	987
473	ENSP00000221086	0	13	58	26	1647
474	ENSP00000221130	4	9	22	12	1587
475	ENSP00000221132	7	2	38	19	1407
476	ENSP00000221138	0	1	3	8	927
477	ENSP00000221233	1	2	11	12	705
478	ENSP00000221265	0	2	9	15	1599
479	ENSP00000221327	12	8	43	25	2100
480	ENSP00000221399	6	1	28	12	1740
481	ENSP00000221403	8	6	35	11	1002
482	ENSP00000221418	2	4	25	9	1023
483	ENSP00000221452	19	18	19	33	1848
484	ENSP00000221455	13	12	34	16	2211
485	ENSP00000221459	0	3	0	2	711
486	ENSP00000221462	1	7	35	35	2073
487	ENSP00000221466	37	14	29	19	1212
488	ENSP00000221476	0	5	31	21	1143
489	ENSP00000221480	6	5	22	9	723
490	ENSP00000221485	0	1	20	21	1710
491	ENSP00000221486	4	5	13	12	900
492	ENSP00000221494	0	6	11	25	1470
493	ENSP00000221496	4	8	64	18	1683
494	ENSP00000221498	2	1	15	4	726
495	ENSP00000221515	2	0	9	5	324
496	ENSP00000221538	4	6	59	20	2151
497	ENSP00000221543	1	14	48	29	1944
498	ENSP00000221561	0	4	1	11	798
499	ENSP00000221566	8	8	15	32	957
500	ENSP00000221573	3	5	18	16	1017
501	ENSP00000221671	4	9	27	22	1971
502	ENSP00000221730	1	2	15	10	1080
503	ENSP00000221742	1	3	6	3	1752
504	ENSP00000221801	4	2	13	3	1059
505	ENSP00000221847	1	0	19	13	768
506	ENSP00000221855	0	2	1	1	945
507	ENSP00000221856	0	3	19	21	1488
508	ENSP00000221859	0	2	3	5	375
509	ENSP00000221891	5	9	0	0	1956
510	ENSP00000221930	0	2	14	14	1170
511	ENSP00000221954	4	3	21	3	888
512	ENSP00000221957	8	10	22	18	1449
513	ENSP00000221972	2	1	6	2	681
514	ENSP00000221973	2	0	17	13	645
515	ENSP00000221978	6	0	7	4	495
516	ENSP00000222005	0	4	9	7	1155
517	ENSP00000222008	1	1	0	0	555
518	ENSP00000222115	5	3	0	0	1770
519	ENSP00000222120	1	4	15	12	657
520	ENSP00000222139	2	1	26	22	1524
521	ENSP00000222145	0	3	11	19	2904
522	ENSP00000222214	1	6	22	22	1314
523	ENSP00000222219	4	5	23	9	1080
524	ENSP00000222248	3	3	42	37	1944
525	ENSP00000222250	3	6	2	1	1221
526	ENSP00000222256	0	0	4	6	783
527	ENSP00000222284	0	3	15	6	672
528	ENSP00000222286	5	5	23	13	1224
529	ENSP00000222305	5	7	0	0	1248
530	ENSP00000222329	1	7	17	31	1704
531	ENSP00000222339	1	2	51	32	2958
532	ENSP00000222345	9	30	164	96	5388
533	ENSP00000222374	0	1	22	15	1200
534	ENSP00000222381	2	3	30	7	1065
535	ENSP00000222382	4	8	5	2	1512
536	ENSP00000222390	1	1	0	0	2457
537	ENSP00000222399	19	21	0	0	5658
538	ENSP00000222462	3	6	5	3	1095
539	ENSP00000222481	1	2	26	9	1257
540	ENSP00000222543	1	3	11	2	705
541	ENSP00000222547	0	0	5	0	354
542	ENSP00000222567	1	6	24	16	1017
543	ENSP00000222574	0	1	0	0	1632
544	ENSP00000222584	0	2	24	22	2391
545	ENSP00000222598	0	2	18	12	867
546	ENSP00000222644	0	2	11	12	1746
547	ENSP00000222674	3	1	23	6	588
548	ENSP00000222693	0	2	15	3	486
549	ENSP00000222725	11	9	1	0	1431
550	ENSP00000222747	0	3	18	5	915
551	ENSP00000222803	0	1	8	8	693
552	ENSP00000222823	1	14	106	48	2859
553	ENSP00000222968	0	0	6	5	543
554	ENSP00000222982	3	2	30	12	1506
555	ENSP00000222990	2	8	34	32	1407
556	ENSP00000223023	0	4	16	11	1533
557	ENSP00000223026	5	6	43	11	1443
558	ENSP00000223073	0	5	60	23	2313
559	ENSP00000223095	2	0	31	10	1206
560	ENSP00000223129	2	1	5	2	363
561	ENSP00000223145	0	0	14	11	1644
562	ENSP00000223208	1	4	21	9	1134
563	ENSP00000223215	0	1	2	0	1005
564	ENSP00000223321	0	0	0	0	702
565	ENSP00000223324	3	2	19	6	564
566	ENSP00000223366	1	4	0	0	1413
567	ENSP00000223369	0	1	0	0	594
568	ENSP00000223500	0	2	1	3	657
569	ENSP00000223528	3	4	0	0	1383
570	ENSP00000223641	0	0	7	5	288
571	ENSP00000223642	11	11	92	50	5118
572	ENSP00000223836	1	2	0	0	630
573	ENSP00000223864	0	2	17	8	441
574	ENSP00000224073	8	5	0	0	444
575	ENSP00000224140	34	27	129	39	8088
576	ENSP00000224337	2	3	25	19	1368
577	ENSP00000224356	1	2	5	3	1491
578	ENSP00000224652	12	9	21	17	1869
579	ENSP00000224784	0	6	6	9	1419
580	ENSP00000224807	3	4	3	3	975
581	ENSP00000224862	1	4	2	1	1167
582	ENSP00000224950	1	2	26	10	1104
583	ENSP00000225171	3	0	11	4	684
584	ENSP00000225174	1	2	6	3	627
585	ENSP00000225235	0	2	3	3	2337
586	ENSP00000225275	5	7	66	34	2241
587	ENSP00000225276	11	7	23	14	1140
588	ENSP00000225296	4	7	49	28	2298
589	ENSP00000225371	1	5	93	29	2145
590	ENSP00000225387	1	4	18	2	645
591	ENSP00000225388	1	2	38	25	2085
592	ENSP00000225474	1	3	0	0	621
593	ENSP00000225512	0	4	3	13	1143
594	ENSP00000225525	0	2	0	3	372
595	ENSP00000225538	1	4	25	27	1197
596	ENSP00000225609	2	0	9	5	756
597	ENSP00000225665	0	3	10	14	1026
598	ENSP00000225688	0	2	12	5	843
599	ENSP00000225698	1	3	16	8	846
600	ENSP00000225719	4	5	51	18	4140
601	ENSP00000225724	1	1	6	5	750
602	ENSP00000225726	0	1	21	6	1449
603	ENSP00000225729	0	0	0	1	1143
604	ENSP00000225737	0	9	29	17	1986
605	ENSP00000225792	0	6	10	11	1842
606	ENSP00000225823	0	2	5	3	1962
607	ENSP00000225842	2	1	6	7	288
608	ENSP00000225899	3	3	91	31	1344
609	ENSP00000225927	1	5	24	30	2229
610	ENSP00000225929	2	2	1	0	1314
611	ENSP00000225941	2	7	19	8	1098
612	ENSP00000225964	0	17	88	77	4425
613	ENSP00000225969	1	0	8	4	453
614	ENSP00000225972	0	1	18	7	921
615	ENSP00000225983	10	12	42	46	3507
616	ENSP00000226004	0	1	11	5	555
617	ENSP00000226021	1	0	25	12	666
618	ENSP00000226067	0	2	6	7	885
619	ENSP00000226091	2	1	12	7	1020
620	ENSP00000226105	1	5	11	10	558
621	ENSP00000226193	0	3	16	10	600
622	ENSP00000226207	11	24	153	66	5820
623	ENSP00000226218	2	3	22	11	1434
624	ENSP00000226225	1	0	0	0	948
625	ENSP00000226230	6	4	8	4	900
626	ENSP00000226247	12	5	0	0	1944
627	ENSP00000226253	1	1	0	0	1128
628	ENSP00000226279	3	3	4	3	900
629	ENSP00000226284	5	5	31	12	951
630	ENSP00000226299	0	10	26	20	1557
631	ENSP00000226317	4	0	11	8	342
632	ENSP00000226319	0	6	18	24	2571
633	ENSP00000226355	5	3	39	12	1797
634	ENSP00000226382	0	4	5	14	945
635	ENSP00000226413	1	4	9	10	984
636	ENSP00000226432	4	3	52	23	2097
637	ENSP00000226524	6	3	3	7	312
638	ENSP00000226574	0	7	35	28	2907
639	ENSP00000226578	6	10	5	1	2637
640	ENSP00000226730	0	0	5	3	459
641	ENSP00000226760	6	28	0	0	2892
642	ENSP00000226796	1	2	0	0	654
643	ENSP00000226951	5	2	41	13	1329
